property_id,property_name,category,city
16558,Radisson Grands,Luxury,Delhi
16559,Radisson Exotica,Luxury,Mumbai
16560,Radisson City,Business,Delhi
16561,Radisson Blu,Luxury,Delhi
16562,Radisson Bay,Luxury,Delhi
16563,Radisson Palace,Business,Delhi
17558,Radisson Grands,Luxury,Mumbai
17559,Radisson Exotica,Luxury,Mumbai
17560,Radisson City,Business,Mumbai
17561,Radisson Blu,Luxury,Mumbai
17562,Radisson Bay,Luxury,Mumbai
17563,Radisson Palace,Business,Mumbai
18558,Radisson Grands,Luxury,Hyderabad
18559,Radisson Exotica,Luxury,Hyderabad
18560,Radisson City,Business,Hyderabad
18561,Radisson Blu,Luxury,Hyderabad
18562,Radisson Bay,Luxury,Hyderabad
18563,Radisson Palace,Business,Hyderabad
19558,Radisson Grands,Luxury,Bangalore
19559,Radisson Exotica,Luxury,Bangalore
19560,Radisson City,Business,Bangalore
19561,Radisson Blu,Luxury,Bangalore
19562,Radisson Bay,Luxury,Bangalore
19563,Radisson Palace,Business,Bangalore
17564,Radisson Seasons,Business,Mumbai
